603,36501,1
604,36572,1
605,36573,1
608,37040,1
609,37041,1
610,37076,1
611,37077,1
612,37820,1
613,37821,1
618,38276,1
619,38277,1
620,38360,1
621,38361,1
622,38420,1
623,38421,1
624,38756,1
625,38757,1
628,38852,1
629,38853,1
630,38936,1
631,38937,1
632,39080,1
633,39081,1
634,39392,1
635,39393,1
638,39680,1
639,39681,1
640,39776,1
641,39777,1
642,39920,1
643,39921,1
644,39980,1
645,39981,1
648,40292,1
649,40293,1
652,40712,1
653,40713,1
654,40880,1
655,40881,1
656,40952,1
657,40953,1
658,41012,1
659,41013,1
660,41096,1
661,41097,1
666,41492,1
667,41493,1
670,41612,1
671,41613,1
672,41792,1
673,41793,1
674,41960,1
675,41961,1
678,42032,1
679,42033,1
682,42380,1
683,42381,1
684,42632,1
685,42633,1
686,42752,1
687,42753,1
690,43040,1
691,43041,1
692,43112,1
693,43113,1
694,43172,1
695,43173,1
696,43196,1
697,43197,1
698,43220,1
699,43221,1
702,43472,1
703,43473,1
706,44072,1
707,44073,1
708,44180,1
709,44181,1
712,44312,1
713,44313,1
720,44960,1
721,44961,1
724,45140,1
725,45141,1
728,45272,1
729,45273,1
732,45476,1
733,45477,1
734,45716,1
735,45717,1
738,46052,1
739,46053,1
740,46076,1
741,46077,1
746,46580,1
747,46581,1
748,46736,1
749,46737,1
752,47120,1
753,47121,1
756,47336,1
757,47337,1
760,47480,1
761,47481,1
762,47660,1
763,47661,1
764,47816,1
765,47817,1
766,48212,1
767,48213,1
772,48836,1
773,48837,1
774,49832,1
775,49833,1
778,50060,1
779,50061,1
780,50336,1
781,50337,1
784,50612,1
785,50613,1
786,50816,1
787,50817,1
788,50936,1
789,50937,1
790,51152,1
791,51153,1
792,51200,1
793,51201,1
794,51596,1
795,51597,1
796,51692,1
797,51693,1
798,51860,1
799,51861,1
800,51992,1
801,51993,1
802,52220,1
803,52221,1
806,52520,1
807,52521,1
808,53360,1
809,53361,1
810,53396,1
811,53397,1
812,53420,1
813,53421,1
816,53720,1
817,53721,1
822,53900,1
823,53901,1
824,54116,1
825,54117,1
826,54212,1
827,54213,1
828,54476,1
829,54477,1
830,54560,1
831,54561,1
836,55052,1
837,55053,1
838,55076,1
839,55077,1
844,55472,1
845,55473,1
846,55496,1
847,55497,1
848,55580,1
849,55581,1
850,55832,1
851,55833,1
852,55880,1
853,55881,1
854,56192,1
855,56193,1
856,56216,1
857,56217,1
858,56360,1
859,56361,1
862,56612,1
863,56613,1
864,56696,1
865,56697,1
866,56816,1
867,56817,1
868,57092,1
869,57093,1
874,57320,1
875,57321,1
876,57500,1
877,57501,1
878,58040,1
879,58041,1
886,58796,1
887,58797,1
888,59132,1
889,59133,1
890,59336,1
891,59337,1
892,59516,1
893,59517,1
894,59756,1
895,59757,1
898,60176,1
899,60177,1
900,60272,1
901,60273,1
902,60536,1
903,60537,1
904,60776,1
905,60777,1
906,60932,1
907,60933,1
908,60980,1
909,60981,1
912,61676,1
913,61677,1
916,61736,1
917,61737,1
918,62156,1
919,62157,1
920,62240,1
921,62241,1
924,62360,1
925,62361,1
926,62492,1
927,62493,1
928,62636,1
929,62637,1
930,62780,1
931,62781,1
932,63020,1
933,63021,1
936,63440,1
937,63441,1
938,63452,1
939,63453,1
944,64052,1
945,64053,1
950,64280,1
951,64281,1
952,64376,1
953,64377,1
954,64592,1
955,64593,1
956,64640,1
957,64641,1
